What is it called when a back-row player jumps from in front of the 10-foot (3-meter) line and attacks the ball above the net?,"This is an illegal play commonly called a ""back-row attack fault."" Back-row players must take off from behind the 10-foot line to legally hit the ball if it is entirely above the height of the net."
Is a player allowed to touch the net during a live rally?,"Generally, no. If a player touches any part of the net between the antennas while the ball is in play, it is a ""net fault,"" and the other team wins the rally. Incidental contact from the ball driven into the net usually does not stop play."
"What is the difference in scoring for the deciding final set (e.g., the 5th set) in a match?","Unlike the first four sets which are played to 25 points, the deciding set (if necessary) is typically played to only 15 points. The team must still win by a margin of 2 points."
"What is the ""10-foot line"" (or 3-meter line) on a volleyball court used for?","The 10-foot line, also called the attack line, separates the front row from the back row. It primarily regulates where back-row players can legally attack the ball above net height."
What happens if the ball hits an antenna during play?,"The antennas are vertical rods attached to the net directly above the sideline. If the ball touches an antenna during play, it is considered ""out"" and results in a fault for the team that last touched it."
"What is a ""lift"" or ""carry"" in volleyball?","A lift or carry is a fault called when the ball comes to rest on a player's hands or body during contact, rather than being clearly rebounded or hit. The contact must be clean and momentary."
"What is a ""pancake"" in volleyball defense?","A pancake is a desperate defensive move where a player flattens their hand against the floor just as the ball is about to land, allowing the ball to bounce off the back of their hand and stay in play."
"In indoor volleyball, can the libero serve in a single match?","This depends on the specific rules being used. In many collegiate and high school rules, the libero is allowed to serve in one specific rotational position. In some international professional rules (FIVB), they may be allowed to serve multiple times."
"What is a ""joust"" in volleyball?","A joust occurs when two opposing players simultaneously contact the ball above the net, pushing against each other. Play continues, and neither team is considered to have faulted unless the ball is caught or thrown."
"What is a ""mis-hit"" or ""tool""?","While ""tool"" can sometimes mean using the block, a ""mis-hit"" is often called a ""block abuse"" or ""wipe."" This is an offensive strategy where the attacker intentionally hits the ball off the opponent's block so it deflects out of bounds."
What is volleyball?,"Volleyball is a fast-paced team sport where two teams of six players, separated by a high net, aim to score points by grounding a ball on the opposing team's court."
Who is Simeon Nikolov?,"Simeon ""Moni"" Nikolov is a 2.07m (6'10"") Bulgarian volleyball setter born in 2006, widely considered one of the world's most promising young talents. Known as a ""prodigy"" for his stellar play at just 18 in the 2025 VNL Volleyball Nations League, he has played for VC Lokomotiv Novosibirsk and the Bulgarian national team"
Who is Krasimir Georgiev?,Krasimir Georgiev (born 13th February 1995) - volleyball player from Bulgaria who currently plays as middle-blocker in CSA Steaua București (Romania)
Who is Iliya Petkov?,Iliya Petkov (born 10th October 1996) - volleyball player from Bulgaria who currently plays as middle-blocker in M&G Scuola Pallavolo (Italy)
Who is Martin Atanasov?,Martin Atanasov (Bulgarian: Мартин Атанасов; born 27 September 1996) is a Bulgarian professional volleyball player who plays as an outside hitter for Vero Volley Monza and the Bulgaria national team
Who is Asparuh Asparuhov?,Asparuh Asparuhov (born 28th July 2000) - volleyball player from Bulgaria who currently plays as outside hitter in Ślepsk Suwałki (Poland)
Who is Aleks Grozdanov?,"Aleks Grozdanov (born 28 March 1998) is a Bulgarian professional volleyball player who acts as a middle blocker for Bogdanka LUK Lublin in Poland and the Bulgarian national team. A highly skilled defender, he was recognized as a ""Best Middle Blocker"" at the 2025 FIVB Men’s World Championship and is known for leading in block statistics"
Who is Georgi Tatarov?,Georgi Tatarov (born 10th May 2003) - volleyball player from Bulgaria who currently plays as outside hitter in M&G Scuola Pallavolo (Italy)
Who is Martin Bozhilov?,Martin Bozhilov (Bulgarian: Мартин Божилов) (born11 April 1988) is a Bulgarian male volleyball player. He was part of the Bulgaria men's national volleyball team at the 2014 FIVB Volleyball Men's World Championship in Poland
Who is Rusi Zhelev?,Rusi Zhelev (born 21st December 2001) - volleyball player from Bulgaria who currently plays as outside hitter in Pallavolo Macerata (Italy)
Who is Venislav Antov?,Venislav Antov (born 6th April 2004) - volleyball player from Bulgaria who currently plays as opposite in Tourcoing Lille Métropole (France)
Who is Stoil Palev?,Stoil Palev (born 21st May 2003) - volleyball player from Bulgaria who currently plays as setter in Levski Sofia (Bulgaria)
Who is Damyan Kolev?,Damyan Kolev (born 11th January 2002) - volleyball player from Bulgaria who currently plays as libero in Levski Sofia (Bulgaria)
Who is Aleksandar Nikolov?,Aleksandar Vladimirov Nikolov (Bulgarian: Александър Владимиров Николов; born 30 November 2003) is a Bulgarian professional volleyball player who plays as an outside hitter for Cucine Lube Civitanova and the Bulgaria national team
Who is Preslav Petkov?,Preslav Petkov (born 28th October 2003) - volleyball player from Bulgaria who currently plays as middle-blocker in Folgore Massa (Italy)
Who is Boris Nachev?,Boris Nachev (born 22nd April 2004) - volleyball player from Bulgaria who currently plays as middle-blocker in Pallavolo Padova (Italy)
Who is Lyuboslav Telkiyski?,Lyuboslav Telkiyski (born 24th August 2001) - volleyball player from Bulgaria who currently plays as setter in Neftochimic Burgas (Bulgaria)
